recorded at,gps at,latitude,longitude,altitude,quality
2020-04-25 14:11:16.773000+00:00,2020-04-25T14:11:16.000Z,37.916702833,-85.6565845,165.7,3
2020-04-25 14:26:17.104000+00:00,2020-04-25T14:26:16.000Z,37.916764833,-85.6564695,190.3,3
2020-04-25 14:41:17.181000+00:00,2020-04-25T14:41:17.000Z,37.916737333,-85.6565175,176.9,3
2020-04-25 14:56:17.451000+00:00,2020-04-25T14:56:17.000Z,37.916762333,-85.656562667,180.8,3
2020-04-25 15:11:18.009000+00:00,2020-04-25T15:11:17.000Z,37.916752333000005,-85.656550667,176.4,3
2020-04-25 15:26:18.159000+00:00,2020-04-25T15:26:18.000Z,37.916760333,-85.65644,189.0,3
2020-04-25 15:41:18.336000+00:00,2020-04-25T15:41:18.000Z,37.916780167,-85.656496333,177.1,3
2020-04-25 15:56:18.823000+00:00,2020-04-25T15:56:18.000Z,37.916699167,-85.6563625,178.2,3
2020-04-25 16:11:19.062000+00:00,2020-04-25T16:11:19.000Z,37.916631667,-85.6563465,180.2,3
2020-04-25 16:26:19.195000+00:00,2020-04-25T16:26:19.000Z,37.916645167,-85.656493333,171.2,3
2020-04-25 16:41:19.453000+00:00,2020-04-25T16:41:19.000Z,37.916705166999996,-85.656498833,170.9,3
2020-04-25 16:56:20.069000+00:00,2020-04-25T16:56:19.000Z,37.916702333,-85.6564705,181.3,3
2020-04-25 17:11:20.134000+00:00,2020-04-25T17:11:20.000Z,37.916677166999996,-85.656458333,167.5,3
2020-04-25 17:26:20.372000+00:00,2020-04-25T17:26:20.000Z,37.916716167,-85.656481667,174.0,3
2020-04-25 17:41:20.893000+00:00,2020-04-25T17:41:20.000Z,37.916759833,-85.6564705,178.5,3
2020-04-25 17:56:21.079000+00:00,2020-04-25T17:56:21.000Z,37.916755667,-85.65637566699999,168.7,3
2020-04-25 18:11:21.184000+00:00,2020-04-25T18:11:21.000Z,37.916800667,-85.6565325,187.1,3
2020-04-25 18:26:21.593000+00:00,2020-04-25T18:26:21.000Z,37.916665667,-85.656328833,175.9,3
2020-04-25 18:41:21.982000+00:00,2020-04-25T18:41:21.000Z,37.9166395,-85.6563995,167.2,3
2020-04-25 18:56:22.128000+00:00,2020-04-25T18:56:22.000Z,37.916708666999995,-85.656464667,178.1,3
2020-04-25 19:11:22.326000+00:00,2020-04-25T19:11:22.000Z,37.916678999999995,-85.656450667,182.4,3
2020-04-25 19:26:22.928000+00:00,2020-04-25T19:26:22.000Z,37.916694166999996,-85.656419667,178.9,3
2020-04-25 19:41:23.022000+00:00,2020-04-25T19:41:23.000Z,37.916690333000005,-85.656382,182.4,3
2020-04-25 19:56:23.201000+00:00,2020-04-25T19:56:23.000Z,37.916710333000005,-85.656434667,166.4,3
2020-04-25 20:11:23.495000+00:00,2020-04-25T20:11:23.000Z,37.916660833,-85.65646016699999,172.0,3
2020-04-25 20:26:24.021000+00:00,2020-04-25T20:26:24.000Z,37.916664167,-85.65643716699999,176.1,3
2020-04-25 20:41:24.108000+00:00,2020-04-25T20:41:24.000Z,37.9166415,-85.656462,168.5,3
2020-04-25 20:56:24.421000+00:00,2020-04-25T20:56:24.000Z,37.916729333,-85.656382833,182.4,3
