Time,RadioId,TagId,TagRSSI,NodeId
2020-04-25 00:00:02.534000+00:00,2,50041E2A,-96,
2020-04-25 00:00:04.848000+00:00,2,79BB6A94,-96,
2020-04-25 00:05:46.863000+00:00,2,C4CC35BC,-96,
2020-04-25 00:21:48.708000+00:00,5,137E43A5,-96,
2020-04-25 00:23:57.533000+00:00,2,46B41AA6,-96,
2020-04-25 00:27:24.046000+00:00,2,CB75F15B,-96,
2020-04-25 00:28:02.041000+00:00,2,4F18BA11,-96,
2020-04-25 00:31:23.553000+00:00,5,CDE3B562,-96,
2020-04-25 00:31:23.904000+00:00,5,4213D83E,-96,
2020-04-25 00:42:14.851000+00:00,5,CA33B5CE,-96,
2020-04-25 00:47:12.400000+00:00,2,19994C07,-96,
2020-04-25 00:51:49.955000+00:00,5,62F20F00,-96,
2020-04-25 01:09:03.565000+00:00,5,A600F7FE,-96,
2020-04-25 01:14:06.387000+00:00,2,21038DBD,-96,
2020-04-25 01:14:12.661000+00:00,2,1FFCDD10,-96,
2020-04-25 01:26:09.471000+00:00,5,A1A7F280,-96,
2020-04-25 01:31:03.355000+00:00,2,8128CD0B,-96,
2020-04-25 01:33:10.532000+00:00,5,612C67CE,-96,
2020-04-25 01:33:53.881000+00:00,2,F6B08BE6,-96,
2020-04-25 01:36:02.988000+00:00,2,971E94DB,-109,
2020-04-25 01:36:31.140000+00:00,5,C2774647,-96,
2020-04-25 01:40:18.010000+00:00,2,2560CE12,-96,
2020-04-25 01:44:42.491000+00:00,5,16783C61,-96,
2020-04-25 01:46:27.468000+00:00,2,1ED5CC78,-96,
2020-04-25 01:47:56.578000+00:00,2,40667D79,-96,
2020-04-25 01:53:27.160000+00:00,5,FF588A30,-96,
2020-04-25 01:54:13.120000+00:00,5,18A69577,-96,
2020-04-25 01:54:18.325000+00:00,2,DC529B3B,-96,
2020-04-25 02:04:26.775000+00:00,2,2F3CC148,-96,
2020-04-25 02:15:27.837000+00:00,5,CB084412,-96,
2020-04-25 02:17:59.605000+00:00,5,CA682D94,-96,
2020-04-25 02:21:06.820000+00:00,5,CC7F3CA2,-96,
